iter	Passed	Remaining
0	192	191845
1	239	119555
2	277	92339
3	296	73765
4	341	67946
5	385	63809
6	431	61171
7	477	59155
8	518	57111
9	563	55782
10	616	55452
11	682	56212
12	730	55488
13	782	55100
14	828	54373
15	873	53701
16	919	53172
17	967	52758
18	1013	52304
19	1060	51940
20	1111	51822
21	1159	51535
22	1209	51381
23	1261	51312
24	1326	51719
25	1371	51394
26	1419	51170
27	1464	50851
28	1511	50623
29	1555	50289
30	1602	50076
31	1647	49828
32	1689	49503
33	1740	49444
34	1807	49827
35	1859	49784
36	1903	49543
37	1952	49419
38	1997	49226
39	2040	48975
40	2086	48809
41	2131	48611
42	2148	47808
43	2207	47964
44	2224	47214
45	2273	47155
46	2318	47017
47	2357	46756
48	2412	46814
49	2453	46611
50	2497	46470
51	2515	45866
52	2561	45761
53	2599	45534
54	2646	45472
55	2698	45493
56	2774	45896
57	2824	45868
58	2869	45764
59	2942	46100
60	2998	46152
61	3047	46100
62	3143	46757
63	3191	46674
64	3238	46589
65	3289	46548
66	3345	46591
67	3391	46485
68	3439	46413
69	3489	46357
70	3550	46462
71	3606	46485
72	3657	46450
73	3709	46420
74	3760	46381
75	3810	46321
76	3857	46244
77	3911	46231
78	3962	46201
79	4012	46141
80	4059	46059
81	4103	45936
82	4151	45864
83	4196	45759
84	4233	45574
85	4291	45610
86	4341	45563
87	4393	45531
88	4441	45460
89	4483	45336
90	4530	45257
91	4579	45194
92	4624	45097
93	4669	45010
94	4712	44893
95	4756	44793
96	4801	44699
97	4859	44728
98	4909	44676
99	4953	44579
100	4999	44499
101	5048	44449
102	5093	44356
103	5148	44352
104	5200	44325
105	5243	44223
106	5290	44149
107	5339	44104
108	5385	44022
109	5432	43950
110	5480	43892
111	5535	43884
112	5589	43874
113	5636	43805
114	5683	43741
115	5729	43659
116	5771	43556
117	5814	43463
118	5861	43396
119	5904	43299
120	5947	43206
121	5993	43132
122	6039	43060
123	6082	42970
124	6126	42887
125	6177	42849
126	6227	42805
127	6277	42767
128	6324	42701
129	6374	42660
130	6426	42627
131	6475	42579
132	6518	42495
133	6563	42416
134	6610	42358
135	6653	42267
136	6706	42246
137	6759	42221
138	6809	42182
139	6855	42111
140	6900	42040
141	6944	41963
142	6989	41889
143	7036	41827
144	7082	41762
145	7124	41670
146	7179	41660
147	7231	41632
148	7280	41584
149	7323	41501
150	7369	41433
151	7412	41355
152	7455	41273
153	7501	41211
154	7546	41140
155	7590	41066
156	7637	41009
157	7682	40940
158	7734	40909
159	7782	40858
160	7840	40858
161	7902	40876
162	7945	40800
163	7990	40733
164	8037	40674
165	8083	40614
166	8127	40538
167	8173	40478
168	8218	40410
169	8262	40340
170	8311	40294
171	8362	40255
172	8413	40218
173	8463	40178
174	8511	40123
175	8556	40059
176	8602	39998
177	8645	39925
178	8687	39846
179	8731	39777
180	8778	39721
181	8829	39685
182	8879	39642
183	8924	39577
184	8974	39537
185	9030	39521
186	9089	39517
187	9138	39468
188	9183	39408
189	9232	39357
190	9279	39304
191	9341	39310
192	9389	39261
193	9436	39204
194	9497	39206
195	9552	39182
196	9596	39116
197	9644	39064
198	9691	39009
199	9735	38942
200	9780	38878
201	9840	38873
202	9894	38846
203	9940	38786
204	9988	38734
205	10033	38673
206	10078	38609
207	10121	38540
208	10165	38472
209	10211	38413
210	10266	38391
